sample_id,collection_date,dilution,name,site_name,sewershed_pop,N_Gene_num_wells,N_Gene_gc_g_dry_weight,N_Gene_gc_g_dry_weight_lci,N_Gene_gc_g_dry_weight_uci,N_Gene_gc_g_dry_weight_pmmov,N_Gene_gc_g_dry_weight_pmmov_lci,N_Gene_gc_g_dry_weight_pmmov_uci,N_Gene_gc_g_dry_weight_trimmed5,N_Gene_gc_g_dry_weight_trimmed5_pmmov
"88-230123","2023-01-23",1,"Portland, ME","Portland Water District (East End Wastewater Treatment Facility)",65000,6,663002.601025641,635594.1380923075,692430.3103999998,0.004510583949218775,0.003953076622693927,0.0050680912757436235,242169.45740852694,0.0015291823178417725
"88-230125","2023-01-25",1,"Portland, ME","Portland Water District (East End Wastewater Treatment Facility)",65000,6,165776.1604301075,153488.7539784946,180552.0006021505,0.001284765243333333,0.001076036364155555,0.0014934941225111112,165776.1604301075,0.001284765243333333
"26-220224","2022-02-24",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,3,49021.98936449226,41943.43645955614,56856.389284545774,0.0002837999899915509,0.00023101968581956775,0.0003365802941635341,30954.59983987385,0.00022222388495316434
"26-220303","2022-03-03",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,3,30954.59983987385,23932.159291526474,39071.411985423045,0.00022222388495316434,0.000154535223884595,0.0002899125460217337,22040.088413666297,0.0001669385546833278
"26-220310","2022-03-10",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,3,13125.576987458746,9810.601916831682,17115.290803960394,0.00011165322441349123,0.000056177255523944087,0.00016712919330303836,17796.341392056598,0.00013031862923508283
"26-220317","2022-03-17",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,3,9308.84734883721,1856.6478362790697,16414.987950387596,0.000057078778338592963,0.000008491388358054784,0.00010566616831913115,17796.341392056598,0.00011056603258811654
"26-220324","2022-03-24",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,3,4743.329541237524,2370.7708199600793,7576.426110978044,0.00003222348542675779,0.000011630618413034491,0.00005281635244048109,10026.775879047502,0.00007528939137655553
"26-220329","2022-03-29",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,49308.86586311111,43707.72044088889,55369.61449244444,0.00016296609501226543,0.00005383226443520726,0.0002720999255893236,22087.87217093162,0.00009239368157614693
"26-220405","2022-04-05",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,7645.903300846551,3960.7284000381037,10742.572109395094,0.000057136171377582376,0.000027318681441105195,0.00008695366131405955,32071.206703108128,0.00013161777193308893
"26-220412","2022-04-12",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,123298.55275993091,114967.34618307427,131630.82672193437,0.0004905876826140565,0.00039044119251067244,0.0005907341727174406,70622.08985613626,0.0002690229972033207
"26-220420","2022-04-20",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,39258.85094536673,34535.40480899491,43853.727655378636,0.00017475104940941897,0.00014901914698978896,0.000200482951829049,65636.65047050412,0.00033535908523751244
"26-220426","2022-04-26",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,134149.41896296295,117396.87562962963,148821.6894814815,0.0004693518471882777,0.00039710099849351904,0.0005416026958830364,75111.1300571799,0.00038339767306801815
"26-220503","2022-05-03",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,34352.54770621469,29296.153007909605,40805.08388248588,0.00036197435911484066,0.0002645332714926832,0.0004594154467369981,78728.08545819057,0.00038339767306801815
"26-220510","2022-05-10",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,62775.98646624204,55591.15804670912,70472.91169426752,0.000318866812900936,0.00025651647126000247,0.0003812171545418696,94632.58064910008,0.00045145299195747496
